order_id,order_date,customer_age,restaurant_type,order_value,delivery_distance_km,delivery_time_minutes,payment_method,delivery_partner_rating,order_status
99,2024-05-21,44,Cafe,669.0,7.37,61,Wallet,3.9,Cancelled
100,2024-08-25,59,Fast Food,1100.38,3.64,47,Cash,3.6,Delayed
101,2024-06-16,29,Chinese,775.42,13.58,24,Cash,5.0,Cancelled
102,2024-11-17,38,Indian,634.31,3.84,46,Wallet,3.1,Delivered
103,2024-09-07,62,Chinese,425.38,6.99,79,Wallet,3.8,Delivered
104,2024-09-25,41,Bakery,943.41,11.99,39,Wallet,3.3,Delivered
105,2024-05-15,48,Indian,161.37,3.38,62,Wallet,3.4,Delivered
106,2024-05-23,42,Italian,180.49,7.56,52,Wallet,4.3,Delayed
107,2024-09-25,51,Cafe,295.69,14.51,40,Cash,3.6,Delayed
108,2024-10-01,59,Indian,971.91,1.81,26,UPI,5.0,Delivered
109,2024-12-01,48,Indian,1146.8,13.51,47,Wallet,2.8,Delayed
110,2024-04-01,42,Indian,1060.8,10.84,16,Card,4.0,Delivered
111,2024-04-18,45,Fast Food,246.11,7.61,62,UPI,2.9,Delayed
112,2024-06-24,26,Bakery,998.09,2.47,48,Cash,3.3,Delayed
113,2024-09-07,24,Cafe,590.8,13.57,40,Card,3.9,Cancelled
114,2024-01-25,28,Cafe,278.46,6.56,38,Cash,4.0,Delayed
115,2024-01-08,64,Fast Food,604.93,4.75,15,Cash,2.7,Cancelled
116,2024-10-29,64,Fast Food,1014.01,4.31,73,UPI,3.2,Delivered
117,2024-01-05,38,Indian,335.59,11.32,75,Card,3.7,Delayed
118,2024-10-08,26,Fast Food,1085.17,14.4,55,Card,3.7,Delivered
119,2024-05-20,33,Fast Food,1089.83,9.66,44,Card,2.8,Cancelled
120,2024-04-22,19,Indian,1194.94,3.69,68,Cash,4.8,Delivered
121,2024-03-13,51,Italian,468.73,4.94,51,Cash,3.9,Cancelled
122,2024-04-24,36,Cafe,462.71,6.79,51,Card,3.2,Delivered
123,2024-06-16,51,Chinese,886.72,8.53,47,Cash,3.1,Cancelled
124,2024-04-07,19,Cafe,358.51,9.44,33,Cash,4.9,Delayed
125,2024-09-14,38,Indian,934.86,11.37,28,Cash,2.7,Delivered
126,2024-10-05,58,Indian,835.9,9.63,50,UPI,4.9,Delayed
127,2024-10-05,59,Cafe,498.15,6.26,68,Card,3.3,Cancelled
128,2024-09-23,31,Italian,637.59,13.18,40,Wallet,2.7,Cancelled
129,2024-11-13,38,Bakery,676.33,8.69,86,Cash,4.3,Cancelled
130,2024-12-27,34,Italian,1034.07,9.71,86,Card,3.5,Delivered
131,2024-10-24,23,Italian,702.12,5.94,48,UPI,3.7,Delivered
132,2024-12-08,31,Italian,440.5,5.26,88,Wallet,4.7,Cancelled
133,2024-01-11,31,Chinese,335.52,13.67,83,Card,2.8,Cancelled
134,2024-09-27,54,Bakery,614.99,5.91,19,Cash,4.0,Delivered
135,2024-11-10,41,Fast Food,927.98,5.89,65,UPI,2.6,Delivered
136,2024-03-20,53,Chinese,260.86,1.05,34,Wallet,3.5,Cancelled
137,2024-01-03,24,Fast Food,320.5,14.21,27,UPI,2.8,Delivered
138,2024-02-25,53,Fast Food,680.8,8.46,25,Wallet,2.9,Delivered
139,2024-12-08,24,Indian,1072.74,8.2,65,Card,4.5,Cancelled
140,2024-07-23,45,Italian,276.14,11.18,24,Wallet,2.9,Cancelled
141,2024-04-02,38,Cafe,378.66,11.64,84,Cash,4.9,Delivered
142,2024-10-12,55,Bakery,243.87,3.12,55,Wallet,4.7,Cancelled
143,2024-10-04,61,Chinese,704.74,12.44,78,Wallet,3.2,Cancelled
144,2024-06-18,21,Cafe,864.64,2.26,88,Cash,3.6,Cancelled
145,2024-03-26,32,Chinese,1091.87,5.89,84,Card,3.9,Delayed
146,2024-08-17,22,Chinese,790.11,13.35,73,Wallet,2.5,Cancelled
147,2024-05-02,63,Italian,543.63,13.88,23,Card,4.3,Delivered
148,2024-09-26,63,Chinese,736.6,3.72,24,UPI,4.9,Cancelled
149,2024-12-09,57,Bakery,1153.33,14.24,74,UPI,4.6,Cancelled
150,2024-11-12,54,Bakery,716.44,11.7,22,Card,4.4,Cancelled
151,2024-11-05,65,Italian,326.2,5.9,33,Wallet,3.6,Delivered
152,2024-02-09,29,Italian,733.43,10.92,46,Card,4.0,Delayed
153,2024-07-20,41,Bakery,485.48,10.28,17,UPI,3.4,Delayed
154,2024-11-13,54,Indian,643.99,11.25,38,Wallet,2.5,Delivered
155,2024-08-14,18,Fast Food,853.07,10.08,26,UPI,4.0,Delayed
156,2024-01-12,51,Chinese,454.17,13.95,32,Card,2.5,Delayed
157,2024-03-04,61,Cafe,1168.19,8.4,57,Wallet,4.9,Cancelled
158,2024-08-10,57,Bakery,554.75,4.35,87,UPI,2.6,Delayed
159,2024-02-11,25,Bakery,884.45,12.76,51,Cash,2.7,Delayed
160,2024-08-07,59,Cafe,158.59,14.83,67,UPI,4.9,Delivered
161,2024-07-22,53,Cafe,500.34,11.75,40,UPI,3.5,Delayed
162,2024-04-30,20,Bakery,1019.03,2.09,85,Card,4.0,Delayed
163,2024-08-12,20,Cafe,926.55,4.36,53,Cash,4.4,Delivered
164,2024-07-27,55,Indian,242.25,0.52,80,Wallet,4.9,Delayed
165,2024-04-23,40,Cafe,402.58,13.06,76,Cash,4.9,Cancelled
166,2024-10-02,48,Indian,295.25,11.16,29,Card,3.4,Cancelled
167,2024-05-09,57,Chinese,403.94,14.68,61,UPI,3.4,Delayed
168,2024-08-23,46,Chinese,530.68,3.52,70,Cash,4.3,Delivered
169,2024-11-18,21,Bakery,897.59,4.91,26,Card,4.2,Cancelled
170,2024-01-27,51,Italian,224.25,11.88,66,Wallet,4.8,Cancelled
171,2024-10-08,26,Italian,470.73,3.34,28,Wallet,4.9,Cancelled
172,2024-05-07,26,Fast Food,725.52,6.14,58,Card,4.8,Cancelled
173,2024-08-08,46,Cafe,367.14,11.37,32,UPI,2.7,Delivered
174,2024-09-04,48,Cafe,1130.32,14.17,22,UPI,3.7,Delivered
175,2024-12-28,39,Chinese,684.01,7.92,88,UPI,3.1,Delivered
176,2024-06-03,45,Chinese,439.21,5.67,19,Wallet,4.3,Cancelled
177,2024-04-17,35,Bakery,869.39,11.5,45,UPI,4.9,Cancelled
178,2024-03-25,59,Indian,470.19,5.66,23,Card,2.6,Delivered
179,2024-02-01,29,Cafe,343.54,7.08,66,UPI,4.9,Delivered
180,2024-05-04,55,Chinese,332.1,8.79,54,Card,3.2,Delivered
181,2024-06-04,28,Fast Food,709.86,14.98,69,UPI,3.9,Cancelled
182,2024-06-16,42,Bakery,648.63,1.47,78,Card,3.4,Cancelled
183,2024-12-19,42,Italian,270.8,7.39,30,UPI,4.7,Delayed
184,2024-09-02,64,Bakery,722.53,2.26,50,Cash,3.0,Delayed
185,2024-02-06,22,Italian,577.24,14.77,54,UPI,3.5,Delayed
186,2024-08-15,18,Cafe,846.5,7.16,48,UPI,3.6,Delayed
187,2024-09-13,26,Italian,967.12,11.93,80,Card,3.7,Delivered
188,2024-05-20,37,Fast Food,237.04,5.24,77,Card,3.1,Delivered
189,2024-12-07,41,Cafe,322.97,5.35,53,Cash,3.6,Delivered
190,2024-04-06,32,Indian,575.76,9.42,29,Cash,2.9,Cancelled
191,2024-01-03,54,Cafe,1133.36,14.57,90,UPI,2.8,Delayed
192,2024-10-20,22,Fast Food,874.0,13.48,47,Card,4.0,Cancelled
193,2024-10-14,40,Cafe,329.51,9.37,82,Wallet,3.6,Delivered
194,2024-11-06,61,Bakery,1060.61,13.48,56,Cash,2.9,Delayed
195,2024-09-03,26,Chinese,551.77,12.28,61,Wallet,4.9,Delivered
196,2024-11-27,36,Chinese,1132.54,4.17,78,Card,3.5,Delivered
197,2024-09-08,37,Indian,876.47,4.54,72,Wallet,3.6,Cancelled
198,2024-08-29,62,Cafe,933.54,4.61,80,Cash,4.3,Cancelled
199,2024-01-29,49,Italian,1036.36,6.97,84,Card,5.0,Delivered
200,2024-07-20,53,Italian,770.91,1.41,57,Card,3.2,Cancelled
201,2024-01-13,20,Bakery,854.61,12.54,68,Card,4.7,Delayed
202,2024-07-22,19,Indian,957.51,13.97,89,UPI,4.3,Delivered
203,2024-07-19,48,Bakery,901.54,13.38,22,Card,3.5,Delayed
204,2024-07-31,59,Bakery,805.7,11.91,29,Wallet,4.6,Cancelled
205,2024-04-11,51,Indian,964.02,8.16,50,Wallet,4.3,Delivered
206,2024-04-07,29,Chinese,1084.68,11.77,23,Cash,3.5,Delivered
207,2024-03-02,29,Italian,1040.01,1.92,22,UPI,2.9,Delivered
208,2024-08-27,44,Bakery,794.45,12.63,20,Wallet,3.7,Delivered
209,2024-01-24,48,Bakery,1013.56,11.74,38,UPI,3.7,Delayed
210,2024-11-13,38,Italian,256.03,13.58,72,UPI,4.9,Delivered
211,2024-02-19,24,Cafe,729.32,11.3,80,Card,4.0,Cancelled
212,2024-06-14,65,Italian,815.14,9.56,42,Wallet,4.9,Cancelled
213,2024-06-19,63,Indian,1078.42,9.38,76,UPI,4.2,Cancelled
214,2024-07-11,37,Fast Food,325.18,9.13,87,UPI,3.8,Cancelled
215,2024-09-13,24,Fast Food,594.01,11.87,27,Cash,2.7,Delivered
216,2024-01-22,45,Indian,910.7,1.86,71,Card,3.8,Delivered
217,2024-11-03,54,Chinese,248.8,9.93,53,Card,4.4,Delayed
218,2024-07-19,39,Fast Food,622.81,4.86,32,Wallet,4.0,Cancelled
219,2024-07-22,18,Fast Food,690.74,13.53,39,Card,4.6,Delivered
220,2024-06-20,52,Bakery,387.17,14.27,51,UPI,3.4,Delayed
221,2024-02-20,30,Italian,625.94,4.66,43,UPI,3.1,Cancelled
222,2024-01-08,31,Bakery,810.44,1.13,83,Cash,4.3,Delivered
223,2024-05-05,22,Bakery,985.71,2.02,25,Card,4.8,Cancelled
224,2024-08-22,51,Italian,582.18,7.08,40,Wallet,4.9,Delayed
225,2024-11-26,25,Cafe,328.81,13.91,29,Card,4.7,Delivered
226,2024-10-04,57,Cafe,311.45,4.56,67,Cash,3.2,Delivered
227,2024-04-16,40,Fast Food,1109.26,3.27,59,Wallet,2.8,Delivered
228,2024-11-06,62,Bakery,271.72,4.52,45,Cash,3.2,Cancelled
229,2024-01-24,51,Indian,476.41,10.31,88,Wallet,4.2,Delayed
230,2024-02-23,55,Cafe,547.41,14.07,86,UPI,4.2,Delayed
231,2024-03-26,35,Cafe,531.15,13.93,58,Wallet,3.4,Delayed
232,2024-12-06,40,Bakery,870.41,1.85,64,Cash,4.5,Delivered
233,2024-05-09,18,Fast Food,428.4,14.92,33,Wallet,3.7,Delivered
234,2024-09-20,48,Fast Food,1073.26,14.35,65,Card,2.6,Cancelled
235,2024-04-13,49,Indian,212.28,14.72,32,UPI,4.0,Delayed
236,2024-08-09,53,Fast Food,704.5,13.27,30,Cash,3.5,Delayed
237,2024-11-17,23,Chinese,964.51,5.18,53,Wallet,4.3,Delivered
238,2024-12-22,30,Indian,383.29,12.02,62,Card,3.4,Cancelled
239,2024-05-12,65,Fast Food,404.63,10.35,17,Wallet,2.6,Delivered
240,2024-04-23,53,Indian,1052.0,13.81,23,UPI,4.9,Delivered
241,2024-11-27,52,Bakery,230.68,11.56,41,Cash,4.8,Delayed
242,2024-11-27,34,Fast Food,294.66,4.68,27,Wallet,3.1,Delivered
243,2024-04-18,63,Indian,677.97,7.39,42,Card,4.3,Cancelled
244,2024-05-22,58,Bakery,340.46,13.75,24,Card,3.2,Delivered
245,2024-04-04,65,Italian,321.79,7.14,51,Wallet,3.1,Cancelled
246,2024-03-26,49,Italian,1140.15,13.33,50,Cash,3.6,Cancelled
247,2024-03-11,24,Indian,331.16,8.77,49,Cash,4.3,Delayed
248,2024-03-20,33,Cafe,1076.03,8.53,85,UPI,3.5,Cancelled
249,2024-11-17,58,Chinese,744.81,7.94,20,Wallet,2.6,Delivered
250,2024-06-23,56,Bakery,203.47,13.16,28,UPI,4.4,Delivered
251,2024-03-14,61,Fast Food,842.87,9.28,38,Cash,3.0,Cancelled
252,2024-11-10,37,Italian,412.97,11.03,82,Wallet,4.3,Cancelled
253,2024-09-29,34,Indian,468.42,10.53,32,Cash,3.4,Delivered
254,2024-06-21,25,Cafe,251.28,9.57,39,Wallet,4.7,Cancelled
255,2024-11-30,24,Bakery,675.53,13.53,62,Wallet,4.1,Delivered
256,2024-05-29,51,Italian,519.58,1.72,15,Card,4.8,Delayed
257,2024-05-20,43,Cafe,752.07,8.45,64,Card,4.3,Delivered
258,2024-02-07,25,Fast Food,1186.41,3.24,31,Cash,3.4,Delayed
259,2024-12-25,22,Italian,1089.09,6.02,62,Cash,3.3,Delayed
260,2024-03-29,57,Indian,439.57,1.61,48,Card,2.8,Delivered
261,2024-03-21,19,Italian,586.76,1.84,67,UPI,4.9,Delivered
262,2024-05-20,63,Cafe,925.38,3.47,71,UPI,4.1,Delivered
263,2024-07-25,64,Cafe,550.52,3.05,67,UPI,3.0,Delayed
264,2024-04-04,57,Italian,667.34,2.29,27,Wallet,4.7,Delivered
265,2024-04-16,26,Chinese,344.43,0.58,24,Wallet,4.2,Cancelled
266,2024-05-31,21,Indian,455.08,11.92,25,Wallet,3.9,Delivered
267,2024-11-10,46,Bakery,1166.15,12.48,45,Wallet,4.5,Cancelled
268,2024-10-10,39,Chinese,836.33,8.78,19,UPI,4.6,Cancelled
269,2024-11-14,25,Fast Food,433.41,2.15,15,Cash,3.9,Cancelled
270,2024-06-16,49,Indian,1043.8,10.08,87,Wallet,4.4,Delayed
271,2024-10-03,19,Italian,677.65,1.22,70,Cash,3.0,Cancelled
272,2024-01-06,58,Italian,1071.73,6.71,74,Wallet,4.5,Cancelled
273,2024-06-22,32,Chinese,790.9,5.42,36,Wallet,4.2,Cancelled
274,2024-12-14,57,Indian,154.76,3.57,75,Wallet,3.1,Delivered
275,2024-06-02,28,Cafe,362.24,5.41,76,Wallet,3.8,Cancelled
276,2024-01-17,51,Bakery,161.8,4.49,64,Card,3.0,Cancelled
277,2024-05-26,41,Fast Food,1180.08,11.54,73,Wallet,3.3,Cancelled
278,2024-07-18,61,Indian,759.1,12.21,60,Cash,3.9,Delivered
279,2024-05-19,32,Fast Food,1057.25,10.55,71,UPI,3.4,Delivered
280,2024-11-01,63,Italian,541.06,7.84,15,Wallet,4.1,Delayed
281,2024-06-13,52,Indian,187.5,2.02,57,UPI,2.8,Delivered
282,2024-11-07,55,Indian,255.32,13.0,42,Cash,5.0,Delayed
283,2024-08-27,43,Indian,720.68,5.75,58,UPI,3.4,Delivered
284,2024-05-01,63,Cafe,536.73,3.75,36,Cash,3.0,Delayed
285,2024-04-05,23,Italian,828.72,11.29,52,Wallet,3.6,Cancelled
286,2024-11-17,42,Indian,794.99,3.54,80,Card,4.2,Delayed
287,2024-09-14,44,Fast Food,740.93,0.95,32,Card,4.2,Cancelled
288,2024-07-15,32,Bakery,418.99,1.72,54,Cash,4.2,Delayed
289,2024-06-24,28,Cafe,919.19,11.53,52,Card,3.7,Delayed
290,2024-02-15,57,Bakery,1033.23,11.04,38,UPI,4.7,Cancelled
291,2024-05-12,28,Cafe,610.36,7.61,32,UPI,3.0,Cancelled
292,2024-07-11,38,Indian,315.72,5.19,83,Wallet,3.5,Delivered
293,2024-08-28,62,Cafe,796.34,10.41,50,Wallet,3.1,Delayed
294,2024-08-22,42,Fast Food,701.89,7.46,26,Card,3.7,Delivered
295,2024-11-30,41,Italian,972.46,12.81,45,UPI,4.5,Delayed
296,2024-04-21,23,Bakery,1029.92,4.74,48,Cash,5.0,Cancelled
297,2024-09-29,60,Fast Food,1026.62,3.12,48,Card,4.1,Delayed
298,2024-10-29,23,Indian,971.66,9.84,87,Wallet,3.7,Delayed
299,2024-12-19,18,Fast Food,939.78,4.78,38,Cash,4.8,Delayed
300,2024-04-18,42,Italian,209.02,0.64,88,Cash,3.5,Delayed
301,2024-03-09,63,Italian,969.33,7.05,76,Wallet,2.7,Cancelled
302,2024-07-22,55,Indian,395.7,10.0,57,Cash,4.2,Cancelled
303,2024-02-29,55,Cafe,269.55,14.39,36,UPI,3.5,Delayed
304,2024-04-15,38,Italian,981.93,8.88,19,Card,3.0,Cancelled
305,2024-10-21,56,Bakery,470.29,7.73,53,Card,4.0,Cancelled
306,2024-12-09,28,Chinese,1033.49,5.24,88,Cash,3.2,Delivered
307,2024-02-15,25,Cafe,726.52,6.34,55,Wallet,3.8,Cancelled
308,2024-02-21,47,Italian,997.41,13.61,57,UPI,2.8,Delayed
309,2024-10-17,42,Indian,350.56,5.7,39,UPI,3.2,Delivered
310,2024-04-08,61,Indian,1041.46,2.71,26,Wallet,2.5,Delivered
311,2024-01-08,63,Chinese,361.86,14.43,29,UPI,3.2,Delivered
312,2024-04-25,51,Bakery,882.01,0.73,79,Card,3.3,Delivered
313,2024-05-30,39,Fast Food,624.41,14.73,71,Wallet,3.9,Cancelled
314,2024-12-12,36,Cafe,1167.91,13.94,87,UPI,4.0,Delivered
315,2024-10-17,28,Indian,782.69,14.96,35,Cash,4.5,Delivered
316,2024-04-26,35,Fast Food,325.93,1.05,70,Cash,4.4,Delayed
317,2024-10-02,30,Bakery,947.45,4.08,38,Card,3.5,Cancelled
318,2024-06-02,37,Fast Food,474.63,0.77,87,Cash,3.4,Delivered
319,2024-02-22,61,Italian,696.79,7.38,88,Cash,3.1,Cancelled
320,2024-09-10,64,Cafe,730.29,1.88,49,Cash,2.5,Delayed
321,2024-01-24,54,Bakery,301.33,12.26,17,Wallet,3.2,Cancelled
322,2024-04-14,50,Fast Food,648.68,9.33,90,Wallet,4.7,Delayed
323,2024-02-06,39,Fast Food,521.54,6.88,78,UPI,4.6,Delivered
324,2024-04-11,55,Indian,365.05,13.05,34,UPI,3.5,Cancelled
325,2024-08-13,29,Chinese,363.12,9.14,45,Card,4.8,Delivered
326,2024-12-28,40,Indian,1007.11,5.47,19,Card,3.1,Cancelled
327,2024-02-07,54,Indian,219.05,3.62,72,Wallet,4.6,Delivered
328,2024-10-01,24,Fast Food,320.51,1.28,33,Card,4.9,Delayed
329,2024-02-10,19,Bakery,569.28,3.69,20,Card,3.6,Cancelled
330,2024-12-04,56,Bakery,1114.83,2.82,79,Card,4.8,Delayed
331,2024-06-05,49,Italian,766.46,7.37,19,UPI,4.2,Delayed
332,2024-07-11,64,Chinese,514.27,10.33,56,UPI,3.1,Delivered
333,2024-08-30,27,Bakery,791.73,4.85,50,Cash,3.6,Cancelled
334,2024-06-26,44,Chinese,269.71,8.62,85,Cash,4.6,Delayed
335,2024-05-06,61,Chinese,948.16,4.83,64,Cash,3.7,Delivered
336,2024-04-30,29,Italian,1152.86,8.39,41,Card,4.3,Delivered
337,2024-06-15,28,Indian,159.32,4.79,90,Card,4.3,Cancelled
338,2024-05-16,46,Bakery,774.45,5.27,29,Card,4.9,Delivered
339,2024-07-13,25,Italian,1139.77,5.27,54,Cash,4.1,Delivered
340,2024-01-22,65,Fast Food,332.43,1.89,59,UPI,4.7,Delivered
341,2024-07-22,46,Italian,238.65,1.63,41,UPI,3.5,Delivered
342,2024-03-18,24,Chinese,450.29,9.25,82,UPI,4.7,Delayed
343,2024-01-11,56,Fast Food,489.4,1.57,48,UPI,2.8,Cancelled
344,2024-07-19,44,Fast Food,777.81,14.96,41,Cash,3.7,Cancelled
345,2024-06-18,55,Bakery,1051.74,5.51,82,Wallet,2.8,Delivered
346,2024-07-20,59,Chinese,848.21,1.56,89,Card,3.7,Delivered
347,2024-10-16,24,Italian,444.42,11.95,69,Wallet,3.3,Cancelled
348,2024-02-21,58,Fast Food,597.4,8.94,81,Wallet,3.1,Delivered
349,2024-07-05,56,Indian,739.95,13.04,42,Cash,2.7,Delivered
350,2024-09-29,44,Indian,561.98,2.15,25,Cash,4.2,Delivered
351,2024-09-10,51,Indian,1014.32,1.08,24,Card,4.6,Cancelled
352,2024-06-01,35,Bakery,1104.96,14.58,78,Card,3.0,Cancelled
